代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
1240,茂生農經,50.6,-0.2,51,51,50.6,50.75,"24,046","1,220,347",25,50.6,2,51,3,"35,009,700",50.6,55.6,45.55
1258,其祥-KY,16.1,-0.1,16,16.2,16,16.06,"33,000","530,100",15,16.05,1,16.15,6,"36,819,791",16.1,17.7,14.5
1259,安心,67,0.1,67.1,67.1,67,67.07,"8,007","537,064",14,66.9,5,67.1,8,"32,389,500",67,73.7,60.3
1264,德麥,253,0.5,254.5,254.5,250.5,252.43,"16,926","4,272,705",81,251.5,1,253,1,"33,695,970",253,278,228
1268,漢來美食,129,1,128,129,127,127.87,"27,373","3,500,090",32,128,2,129,5,"37,723,730",129,141.5,116.5
1336,台翰,22.5,-0.2,23,23,22.5,22.61,"238,306","5,388,148",140,22.5,36,22.55,3,"77,098,419",22.5,24.75,20.25
1565,精華,269,2.5,269,270.5,268,268.91,"138,173","37,155,422",178,268.5,2,270,6,"50,416,516",269,295.5,242.5
1569,濱川,27.3,-0.25,27.55,27.65,27.2,27.38,"268,038","7,340,000",161,27.25,13,27.3,4,"120,226,221",27.3,30,24.6
1570,力肯,13,0.05,12.95,13,12.9,12.93,"32,290","417,453",15,12.9,5,13,7,"51,500,839",13,14.3,11.7
1580,新麥,88.2,0.5,87.7,88.3,87.5,87.98,"174,691","15,368,790",152,88.1,2,88.2,7,"50,230,242",88.2,97,79.4
1584,精剛,10.8,-0.2,11,11,10.8,10.91,"144,062","1,571,576",78,10.8,3,10.9,1,"82,470,533",10.8,11.85,9.72
1586,和勤,45.8,-0.5,46.5,46.6,45.7,46.11,"538,765","24,844,922",342,45.75,3,45.8,5,"83,884,122",45.8,50.3,41.25
1591,駿吉-KY,19.1,1.6,17.9,19.25,17.5,18.55,"104,633","1,940,889",74,18.35,2,19.15,5,"33,164,807",19.1,21,17.2
1593,祺驊,124,1,124,125.5,120.5,122.92,"451,838","55,538,155",388,124,18,124.5,6,"33,948,455",124,136,112
1595,川寶,30.1,-0.35,30.25,30.25,30.1,30.12,"35,102","1,057,221",35,30.1,6,30.15,1,"47,148,134",30.1,33.1,27.1
1599,宏佳騰,36.9,0.85,36.1,37.5,36.1,37.02,"370,959","13,734,413",259,36.9,1,36.95,2,"76,279,764",36.9,40.55,33.25
1742,台蠟,19.15,0.1,18.9,19.15,18.85,18.96,"63,009","1,194,779",28,19.1,2,19.15,5,"71,550,000",19.15,21.05,17.25
1752,南光,37.6,0,37.55,37.7,37.5,37.57,"151,246","5,682,000",96,37.55,6,37.6,3,"100,988,472",37.6,41.35,33.85
1777,生泰,74,0.1,74.3,74.3,74,74.09,"10,000","740,900",7,73.6,3,74.1,1,"30,059,550",74,81.4,66.6
1781,合世,21.85,-0.35,21.85,22.2,21.75,21.91,"220,167","4,823,317",148,21.85,2,22,2,"47,407,605",21.85,24,19.7
1784,訊聯,36.7,0.5,36.8,36.8,36.3,36.55,"72,012","2,631,806",80,36.7,6,36.75,3,"49,626,924",36.7,40.35,33.05
1785,光洋科,42.9,0.4,42.7,43.25,41.9,42.67,"6,435,990","274,635,044","4,026",42.85,56,42.9,41,"591,931,243",42.9,47.15,38.65
1788,杏昌,121.5,0.5,121.5,121.5,121,121.32,"21,326","2,587,352",100,121,2,121.5,2,"37,609,723",121.5,133.5,109.5
1796,金穎生技,29.6,0,29.6,29.7,29.6,29.64,"9,009","266,985",18,29.6,1,30.05,1,"27,893,391",29.6,32.55,26.65
1799,易威,15.4,0.2,15.3,15.45,15.05,15.27,"81,003","1,236,745",62,15.4,9,15.45,8,"139,379,678",15.4,16.9,13.9
1813,寶利徠,18.1,0.05,18.15,18.3,18.1,18.17,"23,999","436,181",23,18.1,1,18.3,20,"46,635,510",18.1,19.9,16.3
1815,富喬,13.7,0,13.65,13.85,13.65,13.72,"2,696,020","36,981,650",871,13.65,95,13.7,114,"417,896,498",13.7,15.05,12.35
2035,唐榮,36,0.8,35.2,36,35.2,35.7,"11,007","392,910",14,35.4,5,36,7,"350,000,000",36,39.6,32.4
2061,風青,24.05,2.15,21.6,24.05,21.6,23.64,"1,266,211","29,939,212",489,24.05,29,0,0,"46,928,758",24.05,26.45,21.65
2063,世鎧,31.8,0.3,31.8,31.9,31.65,31.82,"13,341","424,514",15,31.75,1,31.85,1,"45,000,000",31.8,34.95,28.65
2064,晉椿,13.85,-0.35,13.85,13.9,13.65,13.77,"8,000","110,150",6,13.6,2,13.75,2,"69,630,000",13.85,15.2,12.5
2065,世豐,44.1,0.25,44.1,44.65,44.1,44.34,"181,455","8,044,875",131,44.2,3,44.35,15,"44,989,261",44.1,48.5,39.7
2066,世德, ---,--- ,---,---,---,51,119,"6,069",1,50.7,1,51.9,1,"36,502,870",51,56.1,45.9
2067,嘉鋼,9.81,0.15,9.66,9.81,9.51,9.58,"18,186","174,182",16,9.51,2,9.8,4,"45,138,177",9.81,10.75,8.83
2070,精湛,28.4,0.4,28.9,28.9,28,28.45,"6,001","170,728",7,27.8,1,28.5,6,"35,782,800",28.4,31.2,25.6
2221,大甲,23,0,23.05,23.1,23,23.05,"13,000","299,600",11,23,10,23.15,1,"42,325,000",23,25.3,20.7
2230,泰茂,14.25,0.25,14.1,14.55,14.05,14.23,"36,569","520,394",39,14.25,495,14.3,14,"39,913,194",14.25,15.65,12.85
2235,謚源,42.1,0.1,41.6,42.1,41.55,41.64,"10,014","416,938",11,41.7,1,42.05,1,"35,878,000",42.1,46.3,37.9
